CustomerKey,Gender,Name,City,State,Country,Continent,Birthday,Age
8181,Female,Amelie Nairn,DARTMOUTH,Victoria,Australia,Australia,1985-07-08,39
8220,Male,David Blanch,Vista,South Australia,Australia,Australia,1945-07-29,79
8789,Female,Layla Mackellar,KALKARINDJI,Northern Territory,Australia,Australia,1999-07-13,25
8794,Female,Abbey Lempriere,BOULDER CREEK,Queensland,Australia,Australia,1962-11-02,61
8945,Female,Summer MacMahon,WARUMBUL,New South Wales,Australia,Australia,1939-06-28,85
9167,Male,Luke Bushby,PARACOMBE,South Australia,Australia,Australia,1975-12-02,48
9184,Male,Sam Zimpel,CORUNNUN,Victoria,Australia,Australia,1964-11-24,59
9360,Male,Mitchell Adam,MOPARRABAH,New South Wales,Australia,Australia,1955-01-30,69
9370,Female,Ruby Lock,Cook,Australian Capital Territory,Australia,Australia,1953-05-26,71
9389,Female,Eliza Brophy,YEARINAN,New South Wales,Australia,Australia,1956-04-08,68
9456,Male,Ryder Abdullah,CLAREDALE,Queensland,Australia,Australia,1941-05-21,83
9812,Female,Kaitlyn Morshead,MINJARY,New South Wales,Australia,Australia,1953-01-23,71
9915,Female,Ebony Buxton,SEPPINGS,Western Australia,Australia,Australia,1991-11-10,32
10039,Female,Brianna Hann,NIKENBAH,Queensland,Australia,Australia,1947-10-22,76
10189,Female,Alexis Birchell,FOREST REEFS,New South Wales,Australia,Australia,1962-04-07,62
10276,Male,Angus Bardolph,BATEAU BAY,New South Wales,Australia,Australia,1972-11-01,51
10299,Male,Anthony Macvitie,BEELBANGERA,New South Wales,Australia,Australia,1937-05-27,87
10332,Male,James Burnage,Palmyra,Western Australia,Australia,Australia,1937-03-26,87
10393,Male,Nicholas Moncrieff,ROSENTHAL HEIGHTS,Queensland,Australia,Australia,1981-11-29,42
10395,Male,Cameron Dillon,STRATHERNE,Western Australia,Australia,Australia,1996-02-25,28
10481,Female,Piper Maudsley,CELLS RIVER,New South Wales,Australia,Australia,1977-04-17,47
10504,Male,Daniel Rusconi,SOUTH DATATINE,Western Australia,Australia,Australia,1980-10-22,43
10717,Male,Harrison Ingram,MAYA,Western Australia,Australia,Australia,1981-06-16,43
11035,Female,Makayla Meldrum,KINGS FOREST,New South Wales,Australia,Australia,1939-12-08,84
11090,Female,Scarlett Scollen,SILVERWATER,New South Wales,Australia,Australia,1953-01-20,71
11587,Male,Andrew Fenbury,York,Western Australia,Australia,Australia,1977-11-09,46
11736,Female,Summer Brownrigg,YARRABILBA,Queensland,Australia,Australia,1991-01-22,33
12084,Male,Toby Chauvel,GALGA,South Australia,Australia,Australia,1958-07-20,66
12160,Male,Jett Creal,Oakhurst,New South Wales,Australia,Australia,1956-09-05,67
12162,Female,Eva Lavarack,WHITTINGTON,Victoria,Australia,Australia,1954-07-30,70
12207,Male,Aiden Jull,OGMORE,Queensland,Australia,Australia,1955-11-30,68
12256,Female,Lilly Lynn,ROTHBURY,New South Wales,Australia,Australia,1991-03-07,33
12365,Female,Natalie Lyon,STEEPLE FLAT,New South Wales,Australia,Australia,1958-04-06,66
12385,Female,Lily Gribble,OVERLAND CORNER,South Australia,Australia,Australia,1981-06-10,43
12392,Female,Laura Waterhouse,GREENHILL,South Australia,Australia,Australia,1957-03-08,67
12649,Female,Rose Raven,NOBLE PARK NORTH,Victoria,Australia,Australia,1965-12-11,58
12729,Male,Xavier Sturdee,STANNUM,New South Wales,Australia,Australia,1937-10-14,86
12810,Male,Patrick Newbigin,Deer Park,Victoria,Australia,Australia,1957-06-24,67
12859,Male,Koby Rayment,NABAWA,Western Australia,Australia,Australia,1942-04-29,82
12868,Male,Nathan Greville,MALLALA,South Australia,Australia,Australia,1961-03-12,63
13045,Female,Abbey Storkey,BLUE MOUNTAIN HEIGHTS,Queensland,Australia,Australia,1957-10-19,66
13071,Female,Claudia Fuller,CUBALLING,Western Australia,Australia,Australia,1973-06-28,51
13232,Female,Maya Coates,UNLEY BC,South Australia,Australia,Australia,1985-08-12,39
13365,Male,Mitchell Cutlack,MOONEM,New South Wales,Australia,Australia,1961-01-02,63
13607,Female,Gemma Maum,MAMBRAY CREEK,South Australia,Australia,Australia,1954-09-21,69
14069,Male,Jacob Gairdner,ROB ROY,New South Wales,Australia,Australia,1949-05-24,75
14180,Female,Ava Lockyer,KALGOORLIE,Western Australia,Australia,Australia,1998-05-14,26
14275,Female,Dakota Dunshea,BENTLEY,New South Wales,Australia,Australia,1979-05-02,45
14906,Female,Grace Houghton,BOYER,Tasmania,Australia,Australia,1982-11-16,41
14962,Female,Mackenzie Newell,Crestwood,New South Wales,Australia,Australia,1936-04-05,88
14988,Female,Emily Thirkell,WYNDHAM VALE,Victoria,Australia,Australia,1958-07-24,66
15109,Female,Sara Marsden,WHALE BEACH,New South Wales,Australia,Australia,1999-08-18,24
15385,Male,Harry Morgans,DOONGIN,Western Australia,Australia,Australia,1995-05-11,29
15391,Female,Elizabeth Horsley,MARRAWEENEY,Victoria,Australia,Australia,1989-01-25,35
15569,Female,Chelsea Weekes,COLAC,Victoria,Australia,Australia,1983-09-08,40
15718,Female,Natalie Tennant,DAKENBA,Queensland,Australia,Australia,1957-02-20,67
16193,Female,Isabelle Beggs,ALTONA,South Australia,Australia,Australia,1964-05-10,60
16282,Female,Evie Kirkhope,REIDS FLAT,New South Wales,Australia,Australia,2000-05-11,24
16716,Female,Abby Frater,KAYUGA,New South Wales,Australia,Australia,1987-12-16,36
17412,Male,Mitchell Kwok,VICTORIA PARK,Western Australia,Australia,Australia,1969-08-31,54
17811,Female,Alicia Hoy,WATTLE GLEN,Victoria,Australia,Australia,1985-10-15,38
18067,Male,Rory Koerstz,MOUNT MCKENZIE,South Australia,Australia,Australia,1941-10-26,82
18263,Male,Callum Semmens,RURAL VIEW,Queensland,Australia,Australia,1978-06-01,46
18309,Male,Michael Vogt,FYANS CREEK,Victoria,Australia,Australia,1992-01-07,32
18470,Male,Zac Pryor,GOSFORD,New South Wales,Australia,Australia,1969-03-12,55
18493,Male,George Kevin,TASCOTT,New South Wales,Australia,Australia,1994-09-27,29
18714,Male,Ashton Aitken,PINWERNYING,Western Australia,Australia,Australia,1972-08-13,52
18887,Female,Zara Castleton,BOOROLITE,Victoria,Australia,Australia,1978-11-25,45
19082,Male,Matthew Denman,RANSOME,Queensland,Australia,Australia,1939-04-06,85
19207,Male,Luke Casimaty,KURRACA,Victoria,Australia,Australia,1991-01-19,33
19404,Male,Cody O'Hea,WYNNUM,Queensland,Australia,Australia,1997-06-10,27
19534,Female,Leah Martin,TOOBORAC,Victoria,Australia,Australia,1964-12-13,59
19579,Female,Ava Reye,BARCALDINE,Queensland,Australia,Australia,1949-10-16,74
19726,Female,Victoria Daly,WATANOBBI,New South Wales,Australia,Australia,1973-01-28,51
19732,Female,Olivia Moresby,WAPPILKA,South Australia,Australia,Australia,1981-08-31,42
19753,Female,Alyssa Solander,HOWTH,Tasmania,Australia,Australia,1995-10-21,28
19916,Male,Hunter Samuel,LITTLE PLAIN,New South Wales,Australia,Australia,1991-05-13,33
20069,Male,Jesse Parry-Okeden,GWINDINUP,Western Australia,Australia,Australia,1980-11-24,43
20092,Female,Victoria Fitzsimmons,CAMBRIDGE GARDENS,New South Wales,Australia,Australia,1947-05-03,77
20237,Male,Riley Montefiore,WILLIAMSTOWN,Victoria,Australia,Australia,1986-07-14,38
20623,Female,Eva Rendall,CARLYLE,Victoria,Australia,Australia,1994-03-11,30
20802,Male,Ben Whitworth,POLDA,South Australia,Australia,Australia,1945-07-07,79
20946,Female,Taylah Walstab,WINTHROP,Western Australia,Australia,Australia,1999-11-04,24
21203,Male,Tristan Dobie,CHARTWELL,Victoria,Australia,Australia,1960-02-18,64
21387,Male,Christian Hughes,CREMORNE,New South Wales,Australia,Australia,1970-01-26,54
21424,Male,Justin Tickell,HEYTESBURY LOWER,Victoria,Australia,Australia,1940-07-29,84
21460,Female,Kayla De Beuzeville,GLENLYNN,Western Australia,Australia,Australia,1957-11-01,66
21523,Male,Jayden Rennie,SWANHAVEN,New South Wales,Australia,Australia,1969-12-06,54
21575,Male,Zac Chumleigh,CRAIGIE,Western Australia,Australia,Australia,1991-12-29,32
21654,Female,Amber Monger,PARLIAMENT HOUSE,South Australia,Australia,Australia,1950-02-03,74
21819,Female,Matilda Blacklock,Cleveland,Tasmania,Australia,Australia,2000-06-18,24
21870,Female,Summer Gramp,BELTANA,South Australia,Australia,Australia,1991-11-23,32
22158,Male,Will Parer,CHURCH POINT,New South Wales,Australia,Australia,1996-12-10,27
22384,Male,Jaxon Cox,PEARCE,Australian Capital Territory,Australia,Australia,1951-01-24,73
22540,Male,Connor Ruwolt,BANDYA,Western Australia,Australia,Australia,1989-06-12,35
22775,Male,Flynn Campion,NEEDLES,Tasmania,Australia,Australia,1958-08-27,65
22826,Male,Edward Putilin,ASHFIELD,Queensland,Australia,Australia,1976-09-25,47
23128,Male,Zane Sinclaire,SUMMERLANDS,Victoria,Australia,Australia,2000-01-02,24
23203,Female,Gemma Philipp,MADORA BAY,Western Australia,Australia,Australia,1998-08-11,26
23267,Female,Gabrielle Zinnbauer,FLINDERS VIEW,Queensland,Australia,Australia,1954-04-18,70
23320,Female,Samantha Weigel,WITTENOOM,Western Australia,Australia,Australia,1960-04-15,64
23431,Female,Grace Scarf,SHEEP HILLS,Victoria,Australia,Australia,1970-10-27,53
23599,Female,Maddison Blanc,FORRESTERS BEACH,New South Wales,Australia,Australia,1989-10-12,34
23854,Male,Ali Wroblewski,MURRAWOMBIE,New South Wales,Australia,Australia,1943-01-02,81
24069,Male,Edward Carron,ULMARRA,New South Wales,Australia,Australia,1985-05-20,39
24230,Female,Zoe Dadswell,DAVOREN PARK SOUTH,South Australia,Australia,Australia,1979-10-26,44
24575,Female,Stella O'Mahony,PLACID HILLS,Queensland,Australia,Australia,2000-06-07,24
24920,Female,Natalie Robey,CORNY POINT,South Australia,Australia,Australia,1938-04-17,86
25308,Female,Angelina Kates,WEST WIANGAREE,New South Wales,Australia,Australia,1987-03-12,37
25771,Female,Mikayla Shenton,BOOLCARROLL,New South Wales,Australia,Australia,1959-07-26,65
25864,Male,Zane Corkill,SHIRLEY,Victoria,Australia,Australia,1995-05-05,29
25935,Male,Charlie D'Arcy,BURNT YARDS,New South Wales,Australia,Australia,1975-01-13,49
26458,Male,George Creer,Westbury,Victoria,Australia,Australia,1979-04-28,45
26477,Male,Caleb Willshire,MORISSET,New South Wales,Australia,Australia,1959-11-05,64
26642,Male,Noah Moloney,ELIZABETH BEACH,New South Wales,Australia,Australia,1978-09-30,45
26728,Female,Gemma Allan,MARRICKVILLE SOUTH,New South Wales,Australia,Australia,1979-01-18,45
26906,Male,Xavier McPhee,CLEMTON PARK,New South Wales,Australia,Australia,1974-06-16,50
26914,Female,Amelia England,MOUNT COTTRELL,Victoria,Australia,Australia,1940-10-10,83
26970,Female,Rose Frater,BENDIGO SOUTH,Victoria,Australia,Australia,1990-11-12,33
27125,Female,Ashley Hornung,ARNO BAY,South Australia,Australia,Australia,1976-03-16,48
27210,Male,Liam Osborn,MOOTAI,New South Wales,Australia,Australia,1973-07-02,51
27356,Male,Hamish D'Hage,TURRAMURRA,New South Wales,Australia,Australia,1969-10-02,54
27432,Female,Mikayla Favenc,CLEVE,South Australia,Australia,Australia,1998-09-26,25
27492,Female,Bianca Coombe,YAMBUK,Victoria,Australia,Australia,1987-11-04,36
27616,Male,Cameron Tebbutt,BANNOCKBURN,Victoria,Australia,Australia,1987-05-17,37
27896,Male,Zachary McLeish,JACUP,Western Australia,Australia,Australia,1973-10-17,50
27945,Male,Charlie Stralia,SOFALA,New South Wales,Australia,Australia,1974-05-20,50
28076,Female,Alannah Onus,AVOCA,Tasmania,Australia,Australia,1979-01-02,45
28559,Male,Samuel Israel,YILKI,South Australia,Australia,Australia,1968-12-07,55
28690,Male,Leo Walcott,MILLCHESTER,Queensland,Australia,Australia,1987-09-12,36
28702,Female,Charli Lhotsky,DREWVALE,Queensland,Australia,Australia,1966-06-30,58
29041,Male,Logan Barling,LINDENOW,Victoria,Australia,Australia,1937-11-14,86
29278,Male,Justin Hartog,PINEVALE,Queensland,Australia,Australia,1990-09-04,33
29303,Male,Max Cohn,KIRTON POINT,South Australia,Australia,Australia,1983-05-01,41
29320,Male,Levi Barraclough,BLACKBUTT,New South Wales,Australia,Australia,1938-10-14,85
29475,Female,Madison Pocock,TUROSS,New South Wales,Australia,Australia,1965-07-03,59
29555,Male,Owen Edouard,GLEN MARTIN,New South Wales,Australia,Australia,1992-07-03,32
29593,Male,Liam Nettleton,BAKARA,South Australia,Australia,Australia,1995-08-18,28
29647,Female,Jessica Maynard,BRENDA,New South Wales,Australia,Australia,1956-05-28,68
29689,Female,Alexis Phillipps,BURWOOD HEIGHTS,New South Wales,Australia,Australia,1966-08-28,57
29812,Male,Marcus Napier,ST KILDA ROAD CENTRAL,Victoria,Australia,Australia,1966-11-19,57
29837,Female,Rebecca Jaques,MOUNT GEORGE,New South Wales,Australia,Australia,1938-08-14,86
29973,Female,Lauren Langton,DUCKINWILLA,Queensland,Australia,Australia,1937-09-24,86
30090,Male,George Farrer,PARK AVENUE,Queensland,Australia,Australia,1960-10-07,63
30278,Female,Madeleine Kiddle,JACANA,Victoria,Australia,Australia,1945-09-12,78
30428,Female,Sienna Conrick,EARLSTON,Victoria,Australia,Australia,1999-12-01,24
31086,Female,Kate Snowden,WITTENOOM,Western Australia,Australia,Australia,1985-01-30,39
31164,Male,Hunter Boehm,BOWES,Western Australia,Australia,Australia,1948-06-15,76
31236,Female,Abby Warburton,THREE BRIDGES,Victoria,Australia,Australia,1959-08-08,65
31288,Male,Adam Banning,CLAY WELLS,South Australia,Australia,Australia,1988-08-28,35
31374,Female,Ellie Griffin,ST AGNES,South Australia,Australia,Australia,1960-12-02,63
31721,Female,Alyssa Isaacs,GULFVIEW HEIGHTS,South Australia,Australia,Australia,1961-01-19,63
31784,Male,Zac Scherk,WAMBAN,New South Wales,Australia,Australia,1968-01-02,56
32037,Male,Aaron Knopwood,LAKE MOKOAN,Victoria,Australia,Australia,1989-02-14,35
32190,Female,Paige Lacey,DELAMERE,South Australia,Australia,Australia,1954-10-28,69
32259,Female,Ashley Dane?,SEVENHILL,South Australia,Australia,Australia,1975-11-21,48
32294,Male,Kai Nepean,RITE ISLAND,Queensland,Australia,Australia,1948-08-04,76
32455,Female,Charlotte Crane,MOSQUITO CREEK,Queensland,Australia,Australia,1997-05-09,27
32488,Male,Max Wylie,STAFFORD DC,Queensland,Australia,Australia,1954-03-15,70
32511,Male,Jasper Glassop,Woodford,New South Wales,Australia,Australia,1964-02-29,60
32538,Female,Eva Hazon,BOOMOODEERIE,New South Wales,Australia,Australia,1986-07-20,38
32939,Female,Alica Sizer,WONGULLA,South Australia,Australia,Australia,1951-06-09,73
33036,Male,Tyler Galvin,BYNG,New South Wales,Australia,Australia,1959-07-31,65
33205,Male,Andrew Hollway,CRYSTAL BROOK,Queensland,Australia,Australia,1943-01-10,81
33444,Male,Brodie Thirkell,CLAYTON,Victoria,Australia,Australia,1968-01-09,56
34081,Female,Imogen Permewan,FYANS CREEK,Victoria,Australia,Australia,1939-05-08,85
34126,Female,Victoria Tasman,MENINGIE EAST,South Australia,Australia,Australia,1967-09-07,56
34143,Male,John Gowlland,WARRANWOOD,Victoria,Australia,Australia,1991-04-07,33
34431,Male,Leo Badger,BEACONSFIELD,Western Australia,Australia,Australia,1940-02-02,84
34451,Male,Harry Edwin,GLADSTONE,New South Wales,Australia,Australia,1972-11-01,51
34462,Male,Tyson Tishler,TALAROO,Queensland,Australia,Australia,1938-07-09,86
34850,Female,Caitlin O'Loghlin,BLUE VALE,New South Wales,Australia,Australia,1960-11-30,63
34915,Female,Kate Byles,MOUNT CRYSTAL,New South Wales,Australia,Australia,1969-01-28,55
35257,Female,Ella Oxenham,FERNHILL,New South Wales,Australia,Australia,1970-02-20,54
35479,Male,Jeremy Petre,COSSACK,Western Australia,Australia,Australia,1978-06-08,46
35703,Male,Rory Cotton,LUGARNO,New South Wales,Australia,Australia,1961-12-14,62
35733,Female,Charlotte Shaw,WAROONA,Western Australia,Australia,Australia,1955-05-14,69
35795,Male,Riley Clegg,MOYARRA,Victoria,Australia,Australia,1995-08-07,29
36112,Female,Emma Gepp,ANNUELLO,Victoria,Australia,Australia,1937-02-12,87
36336,Female,Anna Burston,DJARAWONG,Queensland,Australia,Australia,1990-09-21,33
36418,Female,Jorja Whitlam,MOUNT DAVID,New South Wales,Australia,Australia,1946-02-18,78
36507,Male,Joseph Paten,Golden Valley,Tasmania,Australia,Australia,1955-03-23,69
36816,Male,Luke Lazenby,LONGWARRY NORTH,Victoria,Australia,Australia,1971-05-18,53
36918,Male,Blake Mann,OWEN,South Australia,Australia,Australia,1982-11-06,41
37070,Female,Alyssa Hooker,WANGANUI,New South Wales,Australia,Australia,1981-07-18,43
37251,Male,Leo Scerri,GHERANG,Victoria,Australia,Australia,1951-06-17,73
37408,Male,Jaxon Rebell,TORRENS,Australian Capital Territory,Australia,Australia,1975-10-11,48
37580,Female,Mariam Baylee,TOMAHAWK,Tasmania,Australia,Australia,1942-01-12,82
37585,Female,Lauren Fink,YELTA,South Australia,Australia,Australia,1944-04-17,80
37802,Male,Luke Byron,SOUTH DUDLEY,Victoria,Australia,Australia,1990-07-09,34
37991,Male,Cooper Gillison,CARWELL,New South Wales,Australia,Australia,1937-01-06,87
38006,Male,Lachlan Postle,DYRAABA,New South Wales,Australia,Australia,1955-10-29,68
38036,Female,Kiara Schaw,UPPER YARRAMAN,Queensland,Australia,Australia,1960-07-26,64
38183,Male,Hunter Montagu,NEW ITALY,New South Wales,Australia,Australia,1944-07-30,80
38195,Female,Sara Roe,PAYNEDALE,Western Australia,Australia,Australia,1972-11-22,51
38212,Female,Stella Cain,WOOROONOOK,Victoria,Australia,Australia,1985-01-28,39
38558,Female,Audrey Bold,BOSTOBRICK,New South Wales,Australia,Australia,1946-05-19,78
38613,Male,Hamish Mason,Tacoma,New South Wales,Australia,Australia,1988-03-16,36
38865,Male,Christopher Edmund,WINDORAH,Queensland,Australia,Australia,1948-08-17,75
38950,Female,Hannah Edmond,ARTHUR RIVER,Tasmania,Australia,Australia,1954-12-08,69
39183,Male,Julian Gutteridge,KURMOND,New South Wales,Australia,Australia,1973-04-25,51
39246,Male,Darcy Falconer,MANDALAY,Queensland,Australia,Australia,1974-10-20,49
39268,Female,Madeleine Marx,KALLANGUR,Queensland,Australia,Australia,1975-07-24,49
39314,Male,Leo Ligar,LIGHT PASS,South Australia,Australia,Australia,1985-04-20,39
39498,Female,Amy Curtain,SWANBROOK,New South Wales,Australia,Australia,1996-08-13,28
39582,Male,Mason Therry,RISDON,Tasmania,Australia,Australia,1974-03-15,50
39592,Female,Alicia Muntz,SOUTH SPRINGFIELD,Tasmania,Australia,Australia,1965-04-20,59
39894,Female,Samantha Begg,JUNEE,New South Wales,Australia,Australia,1941-02-26,83
39927,Male,Bailey Barnet,SORELL,Tasmania,Australia,Australia,1984-05-15,40
39996,Male,Harry Dawes,BENDOURA,New South Wales,Australia,Australia,2001-05-09,23
40052,Female,Isabel Dettmann,WAVERTON,New South Wales,Australia,Australia,1957-09-06,66
40221,Male,Jonathan Hammond,PARA HILLS WEST,South Australia,Australia,Australia,2001-11-01,22
40327,Female,Madeleine Laing,PIALLIGO,Australian Capital Territory,Australia,Australia,1940-08-23,83
40363,Female,Alyssa Henslowe,DOUBLE BAY,New South Wales,Australia,Australia,1984-07-08,40
40443,Female,Amber Normanby,CARSS PARK,New South Wales,Australia,Australia,1938-04-13,86
40649,Male,Kai De Vis,KANGIARA,New South Wales,Australia,Australia,1972-11-29,51
40662,Male,Oliver Michie,MOUNT HICKS,Tasmania,Australia,Australia,1960-12-18,63
40669,Male,Cody Wheare,MARTINS CREEK,New South Wales,Australia,Australia,1968-09-22,55
40741,Male,Leo Bussau,HARLAXTON,Queensland,Australia,Australia,1937-06-13,87
41281,Male,Lincoln D'Albertis,FITZGERALDS MOUNT,New South Wales,Australia,Australia,1945-10-27,78
41386,Female,Stephanie Grant,SEAL BAY,South Australia,Australia,Australia,1948-06-20,76
41570,Male,Rory Brough,East Point,Northern Territory,Australia,Australia,1937-08-15,87
41674,Male,Jonathan Hodges,NORTH LAKE GRACE,Western Australia,Australia,Australia,1938-03-04,86
41707,Male,Joseph Wheeler,YALLAH,New South Wales,Australia,Australia,1957-04-19,67
41892,Female,Madeline Eales,DARGAN,New South Wales,Australia,Australia,1983-01-09,41
42134,Male,Benjamin Ethel,EAST YUNA,Western Australia,Australia,Australia,1942-09-22,81
42177,Male,Brock James,ELLEKER,Western Australia,Australia,Australia,1960-07-19,64
42364,Female,Layla Silas,MARLO MERRICAN,New South Wales,Australia,Australia,1952-09-27,71
42408,Male,Noah Hinchcliffe,THE PALMS,Queensland,Australia,Australia,1988-11-04,35
42474,Male,Alexander Leane,NUBBA,New South Wales,Australia,Australia,2000-05-23,24
42603,Female,Amy Sawyer,CUSHNIE,Queensland,Australia,Australia,2000-10-09,23
42840,Female,Savannah Lansell,XANTIPPE,Western Australia,Australia,Australia,1936-05-23,88
42956,Male,Ben Raff,BARA,New South Wales,Australia,Australia,1944-05-06,80
43784,Male,Jeremy Iliffe,SNOWTOWN,South Australia,Australia,Australia,1951-03-19,73
43798,Female,Rachel Welch,AMAMOOR,Queensland,Australia,Australia,1966-01-11,58
43840,Female,Rose Vlamingh,OATLANDS,Tasmania,Australia,Australia,1950-01-19,74
44080,Female,Rachel Baldwin,Brighton,Victoria,Australia,Australia,1954-01-20,70
44195,Male,Brayden Topp,LOWER MANGROVE,New South Wales,Australia,Australia,1984-01-09,40
44207,Female,Stella Sternberg,KESWICK TERMINAL,South Australia,Australia,Australia,1984-03-16,40
44301,Female,Annabelle Feetham,DUNNROCK,Queensland,Australia,Australia,1947-10-04,76
44493,Female,Jorja Colechin,JACKEYS MARSH,Tasmania,Australia,Australia,1963-04-28,61
44496,Male,Spencer Beach,MOUNT JOY,South Australia,Australia,Australia,1949-09-28,74
44728,Female,Abbey Remington,DIGGORA,Victoria,Australia,Australia,1953-03-14,71
